frame,stamp_sec,algo,label,roi_time_ms,pipeline_time_ms,cluster_time_ms,classify_time_ms,total_time_ms,after_view,after_car,after_ground,after_voxel,num_clusters,num_cones
54,1748368169.236231,lut,"LUT Bounding Box",105.206,105.339,5.978,3.367,170.091,79,79,79,48,6,4
55,1748368169.336428,lut,"LUT Bounding Box",106.595,106.731,10.537,3.220,176.125,98,98,98,66,6,4
56,1748368169.436629,lut,"LUT Bounding Box",108.766,108.898,12.415,3.719,281.205,124,124,124,77,7,5
57,1748368169.536824,lut,"LUT Bounding Box",109.483,109.613,8.258,3.195,175.980,102,102,102,61,6,4
58,1748368169.637019,lut,"LUT Bounding Box",113.600,113.741,7.174,3.498,181.249,93,93,93,56,6,4
59,1748368169.737217,lut,"LUT Bounding Box",116.674,116.824,7.614,3.210,183.951,87,87,87,67,6,3
60,1748368169.837413,lut,"LUT Bounding Box",116.411,116.568,5.861,2.485,277.884,74,74,74,49,4,3
61,1748368169.937609,lut,"LUT Bounding Box",113.104,113.228,2.989,1.603,172.607,51,51,51,32,3,2
62,1748368170.037809,lut,"LUT Bounding Box",114.794,114.925,3.418,1.703,175.493,49,49,49,33,3,2
63,1748368170.138004,lut,"LUT Bounding Box",117.846,117.972,4.868,1.947,180.222,61,61,61,42,4,2
64,1748368170.238202,lut,"LUT Bounding Box",115.781,115.902,4.239,2.549,277.220,57,57,57,42,4,3
65,1748368170.338398,lut,"LUT Bounding Box",114.890,115.026,4.597,2.001,177.802,55,55,55,41,4,2
66,1748368170.438593,lut,"LUT Bounding Box",113.929,114.055,3.938,2.346,181.457,48,48,48,38,4,3
67,1748368170.538793,lut,"LUT Bounding Box",116.583,116.704,4.397,2.322,286.945,53,53,53,42,4,3
68,1748368170.638985,lut,"LUT Bounding Box",116.405,116.560,4.182,2.475,179.949,51,51,51,37,4,3
69,1748368170.739189,lut,"LUT Bounding Box",114.224,114.349,2.857,1.772,176.505,37,37,37,28,3,2
70,1748368170.839352,lut,"LUT Bounding Box",117.060,117.180,3.484,2.056,180.707,46,46,46,34,4,2
71,1748368170.939576,lut,"LUT Bounding Box",115.364,115.479,2.973,2.386,273.853,41,41,41,31,4,3
72,1748368171.039776,lut,"LUT Bounding Box",115.383,115.510,3.483,2.102,178.028,41,41,41,33,4,3
73,1748368171.139970,lut,"LUT Bounding Box",116.770,116.900,4.062,1.862,179.224,50,50,50,35,4,2
74,1748368171.240184,lut,"LUT Bounding Box",116.036,116.157,3.142,1.648,176.896,42,42,42,33,3,2
75,1748368171.340344,lut,"LUT Bounding Box",117.988,118.139,4.626,1.754,275.844,52,52,52,38,3,2
76,1748368171.440562,lut,"LUT Bounding Box",115.712,115.856,29.275,2.286,208.971,165,165,165,157,4,2
77,1748368171.540779,lut,"LUT Bounding Box",114.611,114.728,2.933,2.081,175.628,43,43,43,29,4,3
78,1748368171.640927,lut,"LUT Bounding Box",116.478,116.610,15.586,2.618,289.874,106,106,106,95,5,2
79,1748368171.741154,lut,"LUT Bounding Box",116.977,117.132,30.930,2.179,213.262,180,180,180,168,4,2
80,1748368171.841348,lut,"LUT Bounding Box",117.304,117.472,4.857,1.941,182.098,70,70,70,48,4,2
81,1748368171.941545,lut,"LUT Bounding Box",118.314,118.518,5.964,1.917,183.492,67,67,67,45,3,2
82,1748368172.041743,lut,"LUT Bounding Box",114.604,114.730,4.492,1.877,279.184,56,56,56,36,3,3
83,1748368172.141937,lut,"LUT Bounding Box",116.508,116.626,3.780,2.658,179.925,47,47,47,33,4,4
84,1748368172.242132,lut,"LUT Bounding Box",116.815,116.941,5.741,2.138,181.015,59,59,59,46,4,3
85,1748368172.342303,lut,"LUT Bounding Box",120.619,120.746,5.217,2.535,185.473,70,70,70,44,4,3
86,1748368172.442536,lut,"LUT Bounding Box",121.020,121.149,3.480,2.129,302.837,61,61,61,38,4,3
87,1748368172.542725,lut,"LUT Bounding Box",119.225,119.355,4.176,2.668,187.466,60,60,60,44,5,4
88,1748368172.642921,lut,"LUT Bounding Box",118.277,118.399,5.874,1.968,180.717,64,64,64,48,3,3
