frame,stamp_sec,algo,label,roi_time_ms,pipeline_time_ms,cluster_time_ms,classify_time_ms,total_time_ms,after_view,after_car,after_ground,after_voxel,num_clusters
47,1748368168.534855,lut_basic,"Basic Distance-Z Bounds",1.368,6.444,3216.505,12.585,3409.694,11640,11640,3642,3607,30
48,1748368168.635051,lut_basic,"Basic Distance-Z Bounds",1.364,6.458,3140.958,13.589,3436.443,11757,11757,3646,3594,31
49,1748368168.735250,lut_basic,"Basic Distance-Z Bounds",1.474,6.644,3105.924,12.105,3297.155,11741,11741,3597,3557,29
50,1748368168.835445,lut_basic,"Basic Distance-Z Bounds",1.465,6.614,3004.436,14.401,3190.609,11900,11900,3559,3512,33
51,1748368168.935644,lut_basic,"Basic Distance-Z Bounds",1.384,6.587,3119.712,10.949,3412.384,12030,12030,3605,3567,23
52,1748368169.035838,lut_basic,"Basic Distance-Z Bounds",1.428,6.711,2918.408,13.757,3105.348,12038,12038,3424,3390,33
53,1748368169.136038,lut_basic,"Basic Distance-Z Bounds",1.443,9.174,2797.478,12.583,2981.968,12089,12089,3337,3296,30
54,1748368169.236231,lut_basic,"Basic Distance-Z Bounds",1.352,6.587,2658.603,14.515,2933.731,12136,12136,3279,3245,35
55,1748368169.336428,lut_basic,"Basic Distance-Z Bounds",1.419,6.717,2753.548,15.056,2947.159,12231,12231,3491,3446,36
56,1748368169.436629,lut_basic,"Basic Distance-Z Bounds",1.450,6.798,2621.869,14.344,2809.962,12195,12195,3517,3483,36
57,1748368169.536824,lut_basic,"Basic Distance-Z Bounds",1.380,6.563,2812.219,15.693,3092.692,12159,12159,3436,3399,39
58,1748368169.637019,lut_basic,"Basic Distance-Z Bounds",1.415,6.632,2712.075,15.113,2905.433,12112,12112,3681,3642,36
59,1748368169.737217,lut_basic,"Basic Distance-Z Bounds",1.302,9.034,2823.671,16.705,3025.249,11768,11768,3574,3538,41
60,1748368169.837413,lut_basic,"Basic Distance-Z Bounds",1.297,6.775,2813.682,14.796,3098.007,11465,11465,3449,3421,36
61,1748368169.937609,lut_basic,"Basic Distance-Z Bounds",1.403,6.631,2461.815,13.849,2638.685,11804,11804,3245,3224,33
62,1748368170.037809,lut_basic,"Basic Distance-Z Bounds",1.327,6.380,2229.867,13.205,2397.725,11965,11965,3013,2997,31
63,1748368170.138004,lut_basic,"Basic Distance-Z Bounds",1.334,9.377,2462.680,14.696,2738.529,11710,11710,3280,3266,34
64,1748368170.238202,lut_basic,"Basic Distance-Z Bounds",1.336,6.364,2443.678,13.684,2618.488,11483,11483,3134,3118,34
65,1748368170.338398,lut_basic,"Basic Distance-Z Bounds",1.367,6.310,2484.050,13.603,2757.206,11553,11553,3314,3300,33
66,1748368170.438593,lut_basic,"Basic Distance-Z Bounds",1.301,6.087,2345.740,14.454,2521.732,11322,11322,3279,3269,35
67,1748368170.538793,lut_basic,"Basic Distance-Z Bounds",1.255,6.027,2498.310,13.192,2673.187,11293,11293,3267,3255,30
68,1748368170.638985,lut_basic,"Basic Distance-Z Bounds",1.358,6.278,2347.809,12.378,2621.751,11379,11379,3130,3118,29
69,1748368170.739189,lut_basic,"Basic Distance-Z Bounds",1.321,6.170,2277.061,12.798,2468.447,11224,11224,3054,3044,31
70,1748368170.839352,lut_basic,"Basic Distance-Z Bounds",1.275,6.120,2552.273,14.218,2731.695,11258,11258,3339,3323,33
71,1748368170.939576,lut_basic,"Basic Distance-Z Bounds",1.353,8.995,2366.643,13.522,2673.521,11174,11174,3217,3204,33
