frame,stamp_sec,algo,label,roi_time_ms,pipeline_time_ms,cluster_time_ms,classify_time_ms,total_time_ms,after_view,after_car,after_ground,after_voxel,num_clusters
3,1748368164.126200,box,"Old Box",0.209,8.018,4431.912,20.838,4701.417,13309,13309,6479,5438,49
4,1748368164.226398,box,"Old Box",0.202,9.044,4481.428,20.876,4859.253,13489,13489,6355,5272,48
5,1748368164.326593,box,"Old Box",0.323,8.910,4284.101,22.864,4549.882,13552,13552,6375,5272,53
6,1748368164.426771,box,"Old Box",0.196,9.925,4440.951,21.117,4727.121,13771,13771,6497,5405,49
7,1748368164.526985,box,"Old Box",0.191,7.868,4491.160,23.550,4870.275,13803,13803,6641,5534,57
8,1748368164.627185,box,"Old Box",0.272,6.305,4523.646,19.138,4806.361,13897,13897,6622,5541,45
9,1748368164.727378,box,"Old Box",0.210,6.365,4680.312,20.985,4960.217,14132,14132,6710,5674,48
10,1748368164.827579,box,"Old Box",0.185,9.023,4542.686,18.325,4920.338,14093,14093,6538,5461,43
11,1748368164.927773,box,"Old Box",0.189,8.973,4699.896,18.184,4981.787,14017,14017,6742,5625,44
12,1748368165.027968,box,"Old Box",0.220,8.995,4846.810,21.444,5134.272,14053,14053,6913,5756,52
13,1748368165.128188,box,"Old Box",0.185,8.998,4840.530,19.937,5206.807,13965,13965,6774,5615,46
14,1748368165.228343,box,"Old Box",0.209,6.334,4723.053,18.770,4995.499,13965,13965,6799,5642,43
15,1748368165.328560,box,"Old Box",0.214,6.407,4662.794,19.316,5028.455,13898,13898,6732,5578,46
16,1748368165.428759,box,"Old Box",0.257,9.544,4547.841,16.949,4813.901,13848,13848,6641,5483,40
17,1748368165.528953,box,"Old Box",0.204,6.524,4479.780,20.417,4742.842,14163,14163,6576,5413,50
18,1748368165.629153,box,"Old Box",0.228,6.538,4682.740,20.836,5055.387,14226,14226,6834,5699,50
19,1748368165.729347,box,"Old Box",0.195,6.628,4500.698,19.775,4770.721,14620,14620,6696,5556,49
20,1748368165.829545,box,"Old Box",0.220,6.652,4454.461,17.096,4722.502,14579,14579,6788,5659,42
21,1748368165.929738,box,"Old Box",0.227,6.541,3974.261,20.594,4334.062,14610,14610,6506,5372,47
22,1748368166.029931,box,"Old Box",0.217,6.780,4123.559,16.334,4391.314,14694,14694,6692,5537,38
23,1748368166.130140,box,"Old Box",0.215,6.489,3644.924,18.460,3891.145,14638,14638,6331,5162,47
24,1748368166.230335,box,"Old Box",0.249,9.113,3427.733,17.022,3774.204,14577,14577,6094,4905,43
25,1748368166.330534,box,"Old Box",0.270,6.643,3960.500,23.606,4230.935,14475,14475,6347,5165,47
26,1748368166.430724,box,"Old Box",0.212,6.483,4114.260,18.362,4519.867,14557,14557,6573,5382,44
27,1748368166.530921,box,"Old Box",0.217,6.679,4506.625,17.114,4791.275,14965,14965,6786,5580,41
28,1748368166.631117,box,"Old Box",0.215,6.713,4186.673,16.872,4453.692,15014,15014,6610,5418,40
29,1748368166.731314,box,"Old Box",0.215,8.707,4554.807,19.575,4955.363,15089,15089,6881,5691,46
30,1748368166.831509,box,"Old Box",0.301,10.673,4676.648,17.042,4958.815,15038,15038,6923,5766,39
31,1748368166.931711,box,"Old Box",0.243,6.814,4751.134,18.042,5150.303,14983,14983,6945,5844,42
32,1748368167.031904,box,"Old Box",0.260,6.987,4730.757,16.808,5015.742,14864,14864,6796,5750,38
33,1748368167.132101,box,"Old Box",0.205,8.462,4732.589,18.112,5025.998,14667,14667,6614,5799,43
34,1748368167.232305,box,"Old Box",0.280,6.634,4610.024,17.304,4996.507,14493,14493,6219,5701,40
