frame,stamp_sec,algo,label,roi_time_ms,pipeline_time_ms,cluster_time_ms,classify_time_ms,total_time_ms,after_view,after_car,after_ground,after_voxel,num_clusters
59,1748368169.737217,pizza,"Pizza Slice",0.566,0.704,26.369,2.604,177.346,160,160,160,154,5
60,1748368169.837413,pizza,"Pizza Slice",0.573,0.707,9.997,3.153,65.752,99,99,99,87,6
61,1748368169.937609,pizza,"Pizza Slice",0.541,0.658,16.514,2.290,71.161,103,103,103,96,4
62,1748368170.037809,pizza,"Pizza Slice",0.535,0.641,2.999,2.377,145.563,45,45,45,38,4
63,1748368170.138004,pizza,"Pizza Slice",0.537,0.639,3.219,2.774,55.509,51,51,51,43,5
64,1748368170.238202,pizza,"Pizza Slice",0.548,0.675,4.146,3.290,58.351,58,58,58,50,6
65,1748368170.338398,pizza,"Pizza Slice",0.557,0.666,2.478,2.271,54.848,42,42,42,35,3
66,1748368170.438593,pizza,"Pizza Slice",0.540,0.640,5.399,2.940,148.246,64,64,64,56,5
67,1748368170.538793,pizza,"Pizza Slice",0.574,0.701,2.236,1.817,57.019,41,41,41,32,3
68,1748368170.638985,pizza,"Pizza Slice",0.558,0.676,2.812,2.721,56.138,49,49,49,38,5
69,1748368170.739189,pizza,"Pizza Slice",0.564,0.690,4.577,2.162,157.955,59,59,59,46,4
70,1748368170.839352,pizza,"Pizza Slice",0.557,0.669,2.622,2.426,55.276,47,47,47,37,4
71,1748368170.939576,pizza,"Pizza Slice",0.553,0.665,3.853,2.710,56.698,51,51,51,40,5
72,1748368171.039776,pizza,"Pizza Slice",0.574,0.703,10.817,3.869,69.332,107,107,107,93,7
73,1748368171.139970,pizza,"Pizza Slice",0.585,0.706,2.500,2.427,152.168,45,45,45,35,4
74,1748368171.240184,pizza,"Pizza Slice",0.559,0.671,4.200,3.197,58.430,62,62,62,52,6
75,1748368171.340344,pizza,"Pizza Slice",0.556,0.657,4.668,2.235,57.055,57,57,57,44,4
76,1748368171.440562,pizza,"Pizza Slice",0.561,0.682,3.190,2.450,55.840,62,62,62,42,4
77,1748368171.540779,pizza,"Pizza Slice",0.562,0.675,2.369,2.698,151.134,51,51,51,37,4
78,1748368171.640927,pizza,"Pizza Slice",0.577,0.725,41.709,3.638,101.212,240,240,240,220,7
79,1748368171.741154,pizza,"Pizza Slice",0.595,0.762,40.351,3.380,104.565,233,233,233,221,7
80,1748368171.841348,pizza,"Pizza Slice",0.598,0.756,2.955,2.506,58.824,60,60,60,41,4
81,1748368171.941545,pizza,"Pizza Slice",0.595,0.745,15.073,2.852,168.569,122,122,122,113,5
82,1748368172.041743,pizza,"Pizza Slice",0.549,0.644,2.116,2.296,55.706,41,41,41,33,4
83,1748368172.141937,pizza,"Pizza Slice",0.564,0.663,2.947,2.055,54.931,54,54,54,38,4
84,1748368172.242132,pizza,"Pizza Slice",0.567,0.674,1.762,2.078,54.532,36,36,36,30,3
85,1748368172.342303,pizza,"Pizza Slice",0.556,0.662,1.624,1.653,147.427,34,34,34,26,2
86,1748368172.442536,pizza,"Pizza Slice",0.557,0.661,5.286,3.320,59.412,65,65,65,57,6
87,1748368172.542725,pizza,"Pizza Slice",0.597,0.811,1.744,1.907,61.472,35,35,35,29,3
88,1748368172.642921,pizza,"Pizza Slice",0.554,0.661,2.171,2.480,55.348,42,42,42,35,4
89,1748368172.743118,pizza,"Pizza Slice",0.552,0.648,1.895,2.235,148.479,33,33,33,28,3
90,1748368172.843293,pizza,"Pizza Slice",0.555,0.667,2.712,2.554,56.545,54,54,54,36,4
91,1748368172.943510,pizza,"Pizza Slice",0.556,0.655,1.917,2.753,54.944,45,45,45,29,3
92,1748368173.043707,pizza,"Pizza Slice",0.562,0.662,2.246,1.760,146.068,51,51,51,33,3
93,1748368173.143903,pizza,"Pizza Slice",0.557,0.671,1.359,1.404,52.811,30,30,30,23,2
94,1748368173.244101,pizza,"Pizza Slice",0.580,0.710,15.059,2.961,73.088,125,125,125,116,6
95,1748368173.344305,pizza,"Pizza Slice",0.550,0.639,1.599,1.304,53.822,27,27,27,23,2
96,1748368173.444496,pizza,"Pizza Slice",0.548,0.641,1.063,1.369,143.121,18,18,18,18,1
97,1748368173.544692,pizza,"Pizza Slice",0.594,0.765,74.146,2.243,136.340,305,305,305,301,4
98,1748368173.644889,pizza,"Pizza Slice",0.564,0.664,1.569,1.373,53.960,30,30,30,25,2
99,1748368173.745085,pizza,"Pizza Slice",0.568,0.673,3.183,2.278,56.869,45,45,45,40,3
100,1748368173.845284,pizza,"Pizza Slice",0.565,0.673,5.727,2.708,167.724,67,67,67,59,5
101,1748368173.945479,pizza,"Pizza Slice",0.552,0.644,1.650,1.480,54.041,28,28,28,23,2
102,1748368174.045650,pizza,"Pizza Slice",0.555,0.649,1.650,1.137,53.644,32,32,32,31,2
103,1748368174.145873,pizza,"Pizza Slice",0.555,0.662,2.806,3.055,148.541,49,49,49,41,6
104,1748368174.246066,pizza,"Pizza Slice",0.558,0.660,1.586,2.024,54.421,29,29,29,23,3
105,1748368174.346265,pizza,"Pizza Slice",0.566,0.664,3.300,1.772,56.405,43,43,43,40,3
106,1748368174.446463,pizza,"Pizza Slice",0.556,0.658,2.506,1.310,54.852,33,33,33,27,2
107,1748368174.546658,pizza,"Pizza Slice",0.550,0.651,2.512,2.116,149.589,41,41,41,36,4
108,1748368174.646856,pizza,"Pizza Slice",0.563,0.671,6.311,2.845,61.174,70,70,70,62,5
109,1748368174.747052,pizza,"Pizza Slice",0.565,0.671,9.042,3.057,65.182,84,84,84,81,6
110,1748368174.847252,pizza,"Pizza Slice",0.568,0.702,34.810,1.904,92.465,166,166,166,165,3
111,1748368174.947449,pizza,"Pizza Slice",0.588,0.721,12.193,2.716,191.852,94,94,94,89,5
112,1748368175.047643,pizza,"Pizza Slice",0.575,0.714,29.419,1.758,86.343,154,154,154,146,3
113,1748368175.147840,pizza,"Pizza Slice",0.573,0.712,23.739,2.154,83.093,135,135,135,128,4
114,1748368175.248036,pizza,"Pizza Slice",0.573,0.706,31.195,2.243,186.669,160,160,160,154,4
115,1748368175.348204,pizza,"Pizza Slice",0.665,0.938,199.265,4.527,278.849,729,729,729,719,10
116,1748368175.448434,pizza,"Pizza Slice",0.632,0.828,67.570,2.556,133.635,276,276,276,269,5
117,1748368175.548631,pizza,"Pizza Slice",0.600,0.774,85.577,2.189,148.063,288,288,288,277,4
118,1748368175.648802,pizza,"Pizza Slice",0.590,0.762,69.744,2.235,230.798,252,252,252,245,4
119,1748368175.749020,pizza,"Pizza Slice",0.620,0.823,111.572,3.011,181.378,332,332,332,324,5
120,1748368175.849217,pizza,"Pizza Slice",0.620,0.825,81.557,3.237,150.605,288,288,288,281,6
121,1748368175.949416,pizza,"Pizza Slice",0.610,0.809,133.777,2.851,294.417,376,376,376,365,4
122,1748368176.049582,pizza,"Pizza Slice",0.631,0.869,175.606,3.066,244.724,456,456,456,443,6
123,1748368176.149810,pizza,"Pizza Slice",0.640,0.886,208.834,2.674,277.761,471,471,471,463,5
124,1748368176.250003,pizza,"Pizza Slice",0.647,0.885,255.168,2.719,327.087,533,533,533,525,5
125,1748368176.350202,pizza,"Pizza Slice",0.655,0.933,261.408,3.122,432.715,620,620,620,610,6
126,1748368176.450377,pizza,"Pizza Slice",0.656,0.943,363.283,3.509,441.161,664,664,664,652,7
127,1748368176.550595,pizza,"Pizza Slice",0.687,0.987,335.636,3.575,412.885,635,635,635,629,7
128,1748368176.650784,pizza,"Pizza Slice",0.673,0.988,318.083,2.597,489.072,611,611,611,591,5
129,1748368176.750987,pizza,"Pizza Slice",0.726,1.103,511.990,2.961,597.231,829,829,829,819,5
130,1748368176.851183,pizza,"Pizza Slice",0.707,1.034,433.219,3.091,517.875,831,831,831,820,6
131,1748368176.951353,pizza,"Pizza Slice",0.747,1.081,414.090,3.222,497.859,783,783,783,759,6
